Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
415000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
426000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
426000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
426000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
426000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
439000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
450000,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
450000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
450000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
476000,00000065,false,Rx,0,8,65,02,01,00,00,00,00,00,
515000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
539000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
616000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
625000,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
625000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
625000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
626000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
626000,00000065,false,Rx,0,8,65,02,01,00,00,00,00,00,
639000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
671000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
716000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
738000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
775000,00000065,false,Rx,0,8,65,02,01,00,00,00,00,00,
815000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
824000,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
824000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
825000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
825000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
839000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
891000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
915000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
925000,00000065,false,Rx,0,8,65,02,01,00,00,00,00,00,
939000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
15000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
25000,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
25000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
38000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
110000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
115000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
139000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
215000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
225000,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
225000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
225000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
226000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
239000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
315000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
330000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
330000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
330000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
338000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
415000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
426000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
439000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
515000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
538000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
549000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
550000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
550000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
615000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
625000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
626000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
639000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
715000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
739000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
770000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
770000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
771000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
814000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
825000,00000054,false,Rx,0,8,00,00,FE,FF,65,02,00,00,
825000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
825000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
825000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
