Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
193000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
204000,00000054,false,Rx,0,8,00,00,FE,FF,BD,02,00,00,
204000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
205000,00000065,false,Rx,0,8,BD,02,01,00,00,00,00,00,
213000,00000065,false,Rx,0,8,BE,02,02,00,00,00,00,00,
293000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
363000,00000065,false,Rx,0,8,BE,02,02,00,00,00,00,00,
393000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
402000,00000054,false,Rx,0,8,00,00,FE,FF,BE,02,00,00,
402000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
403000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
403000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
431000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,A5,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
442000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
493000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
513000,00000065,false,Rx,0,8,BE,02,02,00,00,00,00,00,
531000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
593000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,BE,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
603000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
603000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
631000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,A6,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
661000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
663000,00000065,false,Rx,0,8,BE,02,02,00,00,00,00,00,
693000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
730000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
793000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,BE,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
830000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
881000,000002C4,false,Rx,0,8,02,00,00,00,A6,02,00,00,
881000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
881000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
893000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
931000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
994000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,BE,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
30000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
93000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,02,00,00,00,A6,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
130000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
193000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
203000,00000054,false,Rx,0,8,00,00,FE,FF,BE,02,00,00,
203000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
203000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
204000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
