Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
857000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
909000,000002C4,false,Rx,0,8,03,00,00,00,71,02,00,00,
909000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
909000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
930000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
940000,00000054,false,Rx,0,8,00,00,FE,FF,BF,02,00,00,
940000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
941000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
941000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
958000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
31000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
57000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
128000,000002C4,false,Rx,0,8,03,00,00,00,71,02,00,00,
128000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
128000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
130000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
140000,00000054,false,Rx,0,8,00,00,FE,FF,BF,02,00,00,
140000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
140000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
141000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
157000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
230000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
258000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
0,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
0,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
0,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
291000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000063,false,Rx,0,8,32,01,01,00,00,00,00,00,
0,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
0,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
293000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
331000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
340000,00000054,false,Rx,0,8,00,00,FE,FF,BF,02,00,00,
341000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
341000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
341000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
