Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
198000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
208000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
208000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
208000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
208000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
228000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
239000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
277000,00000065,false,Rx,0,8,5C,02,01,00,00,00,00,00,
298000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
328000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
398000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
408000,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
408000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
408000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
408000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000065,false,Rx,0,8,5C,02,01,00,00,00,00,00,
0,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
459000,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
459000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
459000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
497000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
527000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
577000,00000065,false,Rx,0,8,5C,02,01,00,00,00,00,00,
598000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
607000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
608000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
628000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
679000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
698000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
727000,00000065,false,Rx,0,8,5C,02,01,00,00,00,00,00,
727000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
797000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
807000,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
807000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
808000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
808000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
828000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
898000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
900000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
928000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
998000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
7000,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
7000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
8000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
8000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
28000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
97000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
118000,000002C4,false,Rx,0,8,03,00,00,00,27,02,00,00,
119000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
119000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
127000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
197000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
207000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
208000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
228000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
297000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
328000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
339000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
398000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
407000,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
408000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
408000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
408000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
428000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
497000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
527000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
558000,000002C4,false,Rx,0,8,03,00,00,00,27,02,00,00,
558000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
559000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
597000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
607000,00000054,false,Rx,0,8,00,00,FE,FF,5E,02,00,00,
607000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
608000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
608000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
628000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
697000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
