Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
589000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
600000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
600000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
670000,00000065,false,Rx,0,8,44,02,01,00,00,00,00,00,
690000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
789000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
798000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
799000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
799000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
799000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
819000,00000065,false,Rx,0,8,44,02,01,00,00,00,00,00,
889000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
969000,00000065,false,Rx,0,8,44,02,01,00,00,00,00,00,
988000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
999000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
90000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
119000,00000065,false,Rx,0,8,44,02,01,00,00,00,00,00,
190000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
289000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
389000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
399000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
400000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
489000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
589000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
599000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
599000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
599000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
599000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
688000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
788000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
799000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
800000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
889000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
990000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
999000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
999000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
89000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
189000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
199000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
199000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
199000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
199000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
289000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
389000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
399000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
399000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
489000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
549000,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
549000,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
550000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
550000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
550000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
550000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
551000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
551000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
551000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
552000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
552000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
552000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
559000,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
559000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
560000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
560000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
560000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
560000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
589000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
598000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
599000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
599000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
599000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
689000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
699000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
700000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
700000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
0,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
701000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
701000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
701000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
702000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
702000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
0,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
710000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
710000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
710000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
710000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
788000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
799000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
799000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
849000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
849000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
850000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
0,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
851000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
851000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
852000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
0,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
859000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
860000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
860000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
861000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
889000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
989000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
1000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
1000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
1000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
1000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
2000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
2000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
0,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
8000,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
9000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
10000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
10000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
89000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
189000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
200000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
200000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
