Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
526000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
543000,00000625,false,Rx,0,8,25,10,58,86,01,54,5C,06,
555000,000002C4,false,Rx,0,8,02,00,00,00,68,02,00,00,
555000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
556000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
587000,00000065,false,Rx,0,8,6C,02,01,00,00,00,00,00,
627000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
643000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
726000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,6B,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
736000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000065,false,Rx,0,8,6C,02,01,00,00,00,00,00,
742000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,68,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
775000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
826000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
843000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
885000,00000065,false,Rx,0,8,6C,02,01,00,00,00,00,00,
925000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
936000,00000054,false,Rx,0,8,00,00,FE,FF,6B,02,00,00,
936000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
943000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,68,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
25000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
36000,00000065,false,Rx,0,8,6C,02,01,00,00,00,00,00,
43000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
126000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
136000,00000054,false,Rx,0,8,00,00,FE,FF,6B,02,00,00,
136000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
136000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
136000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
143000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,69,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
226000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
243000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
325000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
336000,00000054,false,Rx,0,8,00,00,FE,FF,6B,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
336000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
343000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
426000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
434000,000002C4,false,Rx,0,8,03,00,00,00,69,02,00,00,
434000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
435000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
