Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
684000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
694000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
694000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
703000,00000065,false,Rx,0,8,C4,02,03,00,00,00,00,00,
782000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
853000,00000065,false,Rx,0,8,C4,02,03,00,00,00,00,00,
883000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
892000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
892000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
892000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
893000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
921000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,AC,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
932000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
983000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
2000,00000065,false,Rx,0,8,C4,02,03,00,00,00,00,00,
20000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
82000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
92000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
93000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
120000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
151000,000002C4,false,Rx,0,8,02,00,00,00,AC,02,00,00,
151000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
0,00000065,false,Rx,0,8,C4,02,03,00,00,00,00,00,
183000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
220000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
283000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
292000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
292000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
292000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
293000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
321000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,AD,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
372000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
383000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
421000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
483000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
492000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
492000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
493000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
493000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
520000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
582000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
591000,000002C4,false,Rx,0,8,02,00,00,00,AD,02,00,00,
591000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
591000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
620000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
682000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
693000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
694000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
721000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
782000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
811000,000002C4,false,Rx,0,8,03,00,00,00,AD,02,00,00,
811000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
812000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
820000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
882000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
892000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
892000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
892000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
893000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
921000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
982000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
20000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,AD,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
33000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
82000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
93000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
93000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
120000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
183000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
220000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
252000,000002C4,false,Rx,0,8,03,00,00,00,AD,02,00,00,
252000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
252000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
283000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
292000,00000054,false,Rx,0,8,00,00,FE,FF,C4,02,00,00,
292000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
293000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
293000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
320000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
383000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
420000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
