Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
685000,00000625,false,Rx,0,8,25,10,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,95,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
785000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
886000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,95,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
917000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
985000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
85000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
136000,000002C4,false,Rx,0,8,02,00,00,00,95,02,00,00,
136000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
137000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
185000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
285000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,96,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
357000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
385000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
485000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
585000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
685000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
785000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
796000,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
796000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
797000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
885000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
986000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
17000,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
17000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
17000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
85000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
184000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
236000,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
236000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
236000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
285000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
385000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
457000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
484000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
585000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
677000,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
677000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
677000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
686000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
785000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
886000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
896000,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
896000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
897000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
985000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
85000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
117000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
185000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
285000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
336000,000002C4,false,Rx,0,8,03,00,00,00,96,02,00,00,
336000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
337000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
385000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
484000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
556000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
585000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
685000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
776000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
776000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
777000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
785000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
885000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
985000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
996000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
996000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
997000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
85000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
185000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
216000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
216000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
217000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
284000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
385000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
436000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
436000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
436000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
