Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
522000,00000625,false,Rx,0,8,25,10,58,86,01,54,5C,06,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
524000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
524000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
533000,000002C4,false,Rx,0,8,02,00,00,00,25,02,00,00,
533000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
534000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
574000,00000065,false,Rx,0,8,4D,02,01,00,00,00,00,00,
613000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
622000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
713000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
722000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
723000,00000054,false,Rx,0,8,00,00,FE,FF,4F,02,00,00,
723000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
723000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
724000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
724000,00000065,false,Rx,0,8,4D,02,01,00,00,00,00,00,
753000,000002C4,false,Rx,0,8,02,00,00,00,25,02,00,00,
753000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
753000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
813000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
822000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
873000,00000065,false,Rx,0,8,4D,02,01,00,00,00,00,00,
913000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
922000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
922000,00000054,false,Rx,0,8,00,00,FE,FF,4F,02,00,00,
922000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
922000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
923000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,000002C4,false,Rx,0,8,02,00,00,00,25,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
974000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
13000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
22000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
22000,00000065,false,Rx,0,8,4D,02,01,00,00,00,00,00,
113000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
123000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
123000,00000054,false,Rx,0,8,00,00,FE,FF,4F,02,00,00,
123000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
123000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
124000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,000002C4,false,Rx,0,8,02,00,00,00,25,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
194000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
213000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
223000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
313000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
322000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
322000,00000054,false,Rx,0,8,00,00,FE,FF,4F,02,00,00,
323000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
323000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
323000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
413000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
414000,000002C4,false,Rx,0,8,03,00,00,00,25,02,00,00,
414000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
414000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
