Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
600000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
600000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
600000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
600000,00000063,false,Rx,0,8,32,01,01,00,00,00,00,00,
601000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
601000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
601000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
602000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
603000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
604000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
620000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
689000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
699000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
699000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
700000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
700000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
720000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
731000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
732000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
732000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
749000,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
749000,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
749000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
749000,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
750000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
750000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
750000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
751000,00000063,false,Rx,0,8,32,01,01,00,00,00,00,00,
751000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
751000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
751000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
752000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
752000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
752000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
753000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
0,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
789000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
819000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
889000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
900000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
900000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
900000,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
901000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
903000,00000063,false,Rx,0,8,32,01,01,00,00,00,00,00,
903000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
903000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
903000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
904000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
904000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
904000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
905000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
905000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
905000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
905000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
921000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
990000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
20000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
89000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
120000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
189000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
221000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
289000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
298000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
299000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
