Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
956000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
956000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
957000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
988000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
46000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
88000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
119000,000002C4,false,Rx,0,8,09,20,00,00,E3,02,00,00,
119000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
119000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
146000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,01,05,EF,00,E3,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
157000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
157000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
188000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
246000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
288000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
339000,000002C4,false,Rx,0,8,09,20,00,00,E3,02,00,00,
339000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
339000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
346000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
356000,00000054,false,Rx,0,8,01,05,EF,00,E3,02,00,00,
356000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
356000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
357000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
388000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
446000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
488000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
547000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
556000,00000054,false,Rx,0,8,01,05,EF,00,E3,02,00,00,
556000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
557000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
557000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
559000,000002C4,false,Rx,0,8,09,20,00,00,E3,02,00,00,
560000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
560000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
588000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
646000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
688000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
746000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,01,05,EF,00,E3,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
756000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
756000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
779000,000002C4,false,Rx,0,8,09,20,00,00,E3,02,00,00,
779000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
779000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
788000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
846000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
888000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
946000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
956000,00000054,false,Rx,0,8,01,05,EF,00,E3,02,00,00,
956000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
