Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
948000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
957000,00000054,false,Rx,0,8,01,05,EF,00,FE,02,00,00,
958000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
958000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
958000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,000002C4,false,Rx,0,8,09,00,00,00,FE,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
965000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
994000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
48000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
93000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
147000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
157000,00000054,false,Rx,0,8,01,05,EF,00,FE,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
158000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
184000,000002C4,false,Rx,0,8,09,00,00,00,FE,02,00,00,
185000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
185000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
193000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
248000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
293000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
348000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
357000,00000054,false,Rx,0,8,01,05,EF,00,FE,02,00,00,
357000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
358000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
358000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
393000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
405000,000002C4,false,Rx,0,8,09,00,00,00,FE,02,00,00,
405000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
405000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
448000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
493000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
548000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
558000,00000054,false,Rx,0,8,01,05,EF,00,FE,02,00,00,
558000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
558000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
558000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
593000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,09,00,00,00,FE,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
647000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
693000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
748000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
757000,00000054,false,Rx,0,8,01,05,EF,00,FE,02,00,00,
757000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
758000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
