Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
183000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
195000,00000054,false,Rx,0,8,00,00,FE,FF,CE,02,00,00,
195000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
195000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
195000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
196000,00000065,false,Rx,0,8,CE,02,02,00,00,00,00,00,
284000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
344000,00000065,false,Rx,0,8,CE,02,02,00,00,00,00,00,
383000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,CE,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
460000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
471000,000002C4,false,Rx,0,8,02,00,00,00,B5,02,00,00,
472000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
472000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
483000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
493000,00000065,false,Rx,0,8,CE,02,02,00,00,00,00,00,
560000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
583000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,CE,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
594000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
594000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
643000,00000065,false,Rx,0,8,CE,02,02,00,00,00,00,00,
661000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
684000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
691000,000002C4,false,Rx,0,8,02,00,00,00,B5,02,00,00,
692000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
692000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
760000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
784000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,CE,02,00,00,
